sampleId	accession	fq
CGG_2_14703	CGG_2_14703-lib-068	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3HU_GATGGA-TAGCGA_L007_R1_003_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-069	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3HU_GATGGA-TAGCGA_L007_R1_003_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-070	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3HU_GATGGA-TAGCGA_L007_R1_004.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-071	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3I_CAGATC-AGCTCT_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-072	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3I_CAGATC-AGCTCT_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-073	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3J_CTTGTA-AGCTCT_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-074	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3J_CTTGTA-AGCTCT_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-075	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3K_TGATCG-AGCTCT_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-076	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3K_TGATCG-AGCTCT_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-077	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3K_TGATCG-AGCTCT_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-078	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3K_TGATCG-AGCTCT_L007_R1_002_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-079	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3L_GCAACG-AGCTCT_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-080	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3L_GCAACG-AGCTCT_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-081	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3L_GCAACG-AGCTCT_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-082	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3L_GCAACG-AGCTCT_L007_R1_002_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-083	/willerslev/datasets/WABI_pipeline/fqs/SouthEastAsia/ESW_mult_CGG2_014703E123_L1.fq.gz
CGG_2_17661	CGG_2_17661-lib-001	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1A_CTATCA-GCGATC_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-002	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1B_ACGCAT-GCGATC_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-003	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1C_TGACGT-GCGATC_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-004	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1D_CATAGA-GCGATC_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-005	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1E_GTGTAT-AGAGCT_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-006	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1F_CAGCTA-AGAGCT_L005_R1_001.trim.fq.gz
